,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,753.0,1370.0,1058.0,964.0,979.0,705.0,1009.0,452.0,985.0,1098.0,1260.0,827.0,1109.0,864.0
1,,0.0,1372.0,1918.0,1713.0,1641.0,994.0,989.0,630.0,1617.0,1337.0,1398.0,1515.0,1592.0,140.0
2,,,0.0,1454.0,702.0,947.0,1203.0,623.0,1470.0,1245.0,448.0,717.0,1688.0,1950.0,1377.0
3,,,,0.0,1433.0,640.0,879.0,1207.0,1388.0,670.0,1193.0,1631.0,1189.0,786.0,1904.0
4,,,,,0.0,1388.0,1258.0,977.0,1222.0,1289.0,722.0,734.0,1380.0,1702.0,1489.0
5,,,,,,0.0,428.0,792.0,1177.0,288.0,707.0,1317.0,1231.0,1212.0,967.0
6,,,,,,,0.0,1044.0,753.0,823.0,948.0,1450.0,657.0,838.0,897.0
7,,,,,,,,0.0,865.0,1041.0,630.0,612.0,1316.0,1413.0,899.0
8,,,,,,,,,0.0,1144.0,1657.0,1406.0,937.0,1259.0,720.0
9,,,,,,,,,,0.0,1005.0,1495.0,1522.0,1290.0,1140.0
10,,,,,,,,,,,0.0,859.0,1442.0,1418.0,1243.0
11,,,,,,,,,,,,0.0,1574.0,1896.0,1287.0
12,,,,,,,,,,,,,0.0,526.0,1505.0
13,,,,,,,,,,,,,,0.0,1614.0
